"id","scheduled_at","location","division_id","player1_id","player2_id"
"1","2026-01-29 01:20:00+00","Cancha 1","9","16","10"
"2","2026-01-29 02:40:00+00","Cancha 1","9","16","23"
"3","2026-01-30 00:40:00+00","Cancha 3","9","16","3"
"4","2026-01-30 01:20:00+00","Cancha 1","9","10","23"
"5","2026-01-29 02:40:00+00","Cancha 2","9","10","3"
"6","2026-01-29 01:20:00+00","Cancha 2","9","23","3"
"7","2026-01-28 23:20:00+00","Cancha 1","8","47","7"
"8","2026-01-29 00:40:00+00","Cancha 2","8","47","30"
"9","2026-01-30 00:40:00+00","Cancha 1","8","47","24"
"10","2026-01-29 22:40:00+00","Cancha 2","8","47","46"
"11","2026-01-29 22:00:00+00","Cancha 1","8","7","30"
"12","2026-01-29 23:20:00+00","Cancha 1","8","7","24"
"13","2026-01-30 22:00:00+00","Cancha 1","8","7","46"
"14","2026-01-28 22:40:00+00","Cancha 1","8","30","24"
"15","2026-01-30 00:00:00+00","Cancha 2","8","30","46"
"16","2026-01-29 00:00:00+00","Cancha 2","8","24","46"
"17","2026-01-29 01:20:00+00","Cancha 3","7","26","5"
"18","2026-01-31 02:40:00+00","Cancha 2","7","26","4"
"19","2026-01-30 01:20:00+00","Cancha 2","7","5","4"
"20","2026-01-30 01:20:00+00","Cancha 3","7","14","38"
"21","2026-01-29 00:00:00+00","Cancha 1","7","14","45"
"22","2026-01-31 00:40:00+00","Cancha 1","7","38","45"
"39","2026-01-30 02:40:00+00","Cancha 1","6","14","11"
"40","2026-01-28 22:40:00+00","Cancha 3","6","14","5"
"41","2026-01-31 01:20:00+00","Cancha 1","6","11","5"
"42","2026-01-29 02:00:00+00","Cancha 3","6","21","32"
"43","2026-01-30 02:40:00+00","Cancha 2","6","21","35"
"44","2026-01-31 01:20:00+00","Cancha 2","6","21","43"
"45","2026-01-31 01:20:00+00","Cancha 3","6","32","35"
"46","2026-01-30 02:40:00+00","Cancha 3","6","32","43"
"47","2026-01-29 02:40:00+00","Cancha 3","6","35","43"
"48","2026-01-30 23:20:00+00","Cancha 1","6","53","7"
"49","2026-01-31 02:00:00+00","Cancha 1","6","53","6"
"50","2026-01-29 22:40:00+00","Cancha 3","6","53","45"
"51","2026-01-31 22:00:00+00","Cancha 1","6","7","6"
"52","2026-01-28 22:00:00+00","Cancha 2","6","7","45"
"53","2026-01-30 00:00:00+00","Cancha 3","6","6","45"
"82","2026-01-31 02:00:00+00","Cancha 2","11","18","48"
"83","2026-01-31 22:00:00+00","Cancha 3","11","18","51"
"84","2026-01-31 23:20:00+00","Cancha 1","11","18","59"
"85","2026-01-31 23:20:00+00","Cancha 2","11","48","51"
"86","2026-02-01 00:40:00+00","Cancha 1","11","48","59"
"87","2026-01-31 02:00:00+00","Cancha 3","11","51","59"
"88","2026-01-30 22:00:00+00","Cancha 2","11","20","31"
"89","2026-01-30 23:20:00+00","Cancha 2","11","20","50"
"90","2026-01-31 22:00:00+00","Cancha 2","11","20","58"
"91","2026-01-31 02:40:00+00","Cancha 1","11","31","50"
"92","2026-01-31 23:20:00+00","Cancha 3","11","31","58"
"93","2026-01-30 00:00:00+00","Cancha 1","11","50","58"
"94","2026-01-28 23:00:00+00","Cancha 1","5","54","15"
"95","2026-01-29 00:00:00+00","Cancha 1","5","54","41"
"96","2026-01-29 01:00:00+00","Cancha 1","5","15","41"
"97","2026-01-28 23:00:00+00","Cancha 2","5","60","34"
"98","2026-01-29 00:00:00+00","Cancha 2","5","60","42"
"99","2026-01-29 01:00:00+00","Cancha 2","5","34","42"
"100","2026-01-28 23:00:00+00","Cancha 1","14","8","55"
"101","2026-01-29 00:00:00+00","Cancha 1","14","8","57"
"102","2026-01-29 01:00:00+00","Cancha 1","14","55","57"
"103","2026-01-28 23:00:00+00","Cancha 2","14","27","39"
"104","2026-01-29 00:00:00+00","Cancha 2","14","27","41"
"105","2026-01-29 01:00:00+00","Cancha 2","14","39","41"
"106","2026-01-28 23:00:00+00","Cancha 1","4","22","25"
"107","2026-01-29 00:00:00+00","Cancha 1","4","22","29"
"108","2026-01-29 01:00:00+00","Cancha 1","4","25","29"
"109","2026-01-28 23:00:00+00","Cancha 2","4","12","20"
"110","2026-01-29 00:00:00+00","Cancha 2","4","12","40"
"111","2026-01-29 01:00:00+00","Cancha 2","4","20","40"
"112","2026-01-28 23:00:00+00","Cancha 3","4","8","17"
"113","2026-01-29 00:00:00+00","Cancha 3","4","8","52"
"114","2026-01-29 01:00:00+00","Cancha 3","4","17","52"
